agent,group,model,fit_AS,Unnamed: 0,id,fit_DB,fit_VS,fit_SG,r2,lambda,beta,tau,par
4,6,SG,387.50177920262377,480,16,389.9979536082344,386.6589786364878,388.0802308837271,0.1634572786491767,0.9043792237356028,0.4460475192810188,0.04811544498087243,18.999999999999996
1,6,AS,436.88800183624375,5040,17,440.4110015639908,437.0760875105137,444.4916760134122,0.2853845398263126,0.5163424475944606,0.5633452110091515,0.027387766686545887,
1,6,DB,436.88800183624375,5040,17,440.4110015639908,437.0760875105137,444.4916760134122,0.2773028275059887,0.656731155187501,0.42638894081423184,0.04635768033841753,0.21428570000000002
1,6,VS,436.88800183624375,5040,17,440.4110015639908,437.0760875105137,444.4916760134122,0.2621565408543517,0.6990913937365191,0.4062826341754427,0.05130656331093283,0.116
1,6,SG,436.88800183624375,5040,17,440.4110015639908,437.0760875105137,444.4916760134122,0.2799791425161856,0.9036214980924604,0.3256382395248814,0.06927285498258205,18.019386630674404
3,6,AS,383.1350574611062,5520,18,388.2940725649778,387.73269255988185,387.3000179399722,0.286697637270218,0.8950543865975857,0.37493810007635164,0.04987896549562637,
3,6,DB,383.1350574611062,5520,18,388.2940725649778,387.73269255988185,387.3000179399722,0.277092831885569,0.9021822210341209,0.37274681021177153,0.05195290297544477,0.21428570000000002
3,6,VS,383.1350574611062,5520,18,388.2940725649778,387.73269255988185,387.3000179399722,0.27813798209102847,0.8970220225910716,0.3692729254580548,0.05068212004863651,0.116
3,6,SG,383.1350574611062,5520,18,388.2940725649778,387.73269255988185,387.3000179399722,0.27894351482071367,0.8592412894770074,0.37770539696598376,0.04996351432175816,18.999999999999996
2,6,AS,383.84035957548224,11280,19,388.1812779237429,396.3167807761226,386.7437527467736,0.2785678854374085,0.8941556554233002,0.40418215508420063,0.053641365327682725,
2,6,DB,383.84035957548224,11280,19,388.1812779237429,396.3167807761226,386.7437527467736,0.27392062837587394,0.9184159889812419,0.3947185784288145,0.05574133499072244,0.21428570000000002
2,6,VS,383.84035957548224,11280,19,388.1812779237429,396.3167807761226,386.7437527467736,0.2801369708641469,1.1993567639443545,0.2892431868673978,0.06991938938227761,0.116
2,6,SG,383.84035957548224,11280,19,388.1812779237429,396.3167807761226,386.7437527467736,0.2774909520093109,1.0292449505465617,0.354629439869688,0.0604469324423942,18.999999999999996
3,8,AS,386.08958624185567,7440,20,383.5199496479884,390.86317288330446,389.50616770167954,0.2663271642854494,1.0130051265380455,0.35614329010249857,0.05116836305628523,
3,8,DB,386.08958624185567,7440,20,383.5199496479884,390.86317288330446,389.50616770167954,0.2554537695399168,1.1191731911010216,0.3340297104628582,0.05164830688442396,0.21428570000000002
3,8,VS,386.08958624185567,7440,20,383.5199496479884,390.86317288330446,389.50616770167954,0.27101096361053734,1.0904856998182841,0.2818878257784999,0.05892996473670948,0.116
3,8,SG,386.08958624185567,7440,20,383.5199496479884,390.86317288330446,389.50616770167954,0.2785843196797971,0.8966163738744496,0.3849085464625393,0.04988691493477062,18.999999999999996
2,8,AS,417.83166376333503,8880,21,414.5221858023561,417.2714613502699,404.7517672976705,0.22210116985716422,1.629665624741177,0.06073567505880742,0.10154810102925506,
2,8,DB,417.83166376333503,8880,21,414.5221858023561,417.2714613502699,404.7517672976705,0.22826259623409678,1.681972249327568,0.05087174312022453,0.10542483766590591,0.2187359408439522
2,8,VS,417.83166376333503,8880,21,414.5221858023561,417.2714613502699,404.7517672976705,0.22314412767860253,1.5999165210955213,0.07159020217258842,0.0989597323380575,0.116
2,8,SG,417.83166376333503,8880,21,414.5221858023561,417.2714613502699,404.7517672976705,0.2464526899583143,1.761262415667772,0.006737946999085468,0.11157037315111538,18.999999999999996
1,8,AS,394.0766198970712,13680,22,399.91703055361785,391.5608175987495,387.4929519019855,0.2811970381498264,0.8000862258860089,0.3696461174779861,0.03694185409668827,
1,8,DB,394.0766198970712,13680,22,399.91703055361785,391.5608175987495,387.4929519019855,0.28598106356871794,0.9766845362863306,0.3204888584470837,0.04500758037717764,0.21428570000000002
1,8,VS,394.0766198970712,13680,22,399.91703055361785,391.5608175987495,387.4929519019855,0.2723098048786023,2.0856992712745686,0.006737946999085468,0.0985746231113514,0.116
1,8,SG,394.0766198970712,13680,22,399.91703055361785,391.5608175987495,387.4929519019855,0.27483621164676364,1.4948941165845944,0.16242794050291745,0.06988049599518381,18.999999999999996
4,8,AS,389.4494305438213,20880,23,395.61026703140624,407.9655835272084,390.10555037403634,0.2749418421495502,0.7083292472915047,0.487957975030131,0.04179532356073325,
4,8,DB,389.4494305438213,20880,23,395.61026703140624,407.9655835272084,390.10555037403634,0.26347189405316046,0.6628716333102423,1.560020932546785,0.03807090554577746,0.21428570000000002
4,8,VS,389.4494305438213,20880,23,395.61026703140624,407.9655835272084,390.10555037403634,0.24046936197705437,0.8361529267344987,0.3817672338878189,0.054373714024637254,0.116
4,8,SG,389.4494305438213,20880,23,395.61026703140624,407.9655835272084,390.10555037403634,0.2737203099091242,0.6734085128200987,0.5430850596536815,0.03795614614541189,17.873221469672593
3,16,AS,387.2293403950407,5760,24,386.09625565948863,392.9625648796506,392.1121770307992,0.33052478841604865,0.8013433854291452,0.4181264146313753,0.0496794602522749,
3,16,DB,387.2293403950407,5760,24,386.09625565948863,392.9625648796506,392.1121770307992,0.32356879443363584,0.8248709919296475,0.40853292706282024,0.050599538424402846,0.21428570000000002
3,16,VS,387.2293403950407,5760,24,386.09625565948863,392.9625648796506,392.1121770307992,0.3308172944514498,1.1321763417627275,0.28485934229813853,0.06840544141404292,0.116
3,16,SG,387.2293403950407,5760,24,386.09625565948863,392.9625648796506,392.1121770307992,0.3288237064499441,1.127517959641934,0.3167321024816552,0.06432128175261743,8.561659974081708
1,16,AS,359.59424370527745,18240,25,363.33050660499873,359.4371303652175,360.5079433800344,0.24683391908227997,1.1661043218956206,0.2154234281148948,0.06571329061339501,
1,16,DB,359.59424370527745,18240,25,363.33050660499873,359.4371303652175,360.5079433800344,0.2427530342823166,1.2008955242094772,0.20473815127089642,0.0691093158066013,0.21428570000000002
1,16,VS,359.59424370527745,18240,25,363.33050660499873,359.4371303652175,360.5079433800344,0.24853897313043521,1.1663065718574603,0.21660610935642072,0.06399484552424291,0.116
1,16,SG,359.59424370527745,18240,25,363.33050660499873,359.4371303652175,360.5079433800344,0.23581283742200937,1.1445700829117058,0.2158020941395764,0.06519973229215181,18.999999999999996
2,16,AS,404.5469982544873,19200,26,406.7389579535167,403.6311650610935,410.4667357680879,0.2790750988634941,1.7742338443080703,0.06141857584348408,0.11016099293123005,
2,16,DB,404.5469982544873,19200,26,406.7389579535167,403.6311650610935,410.4667357680879,0.28118462134989386,1.607585319172018,0.11295113102027216,0.10173910056325289,0.21428570000000002
2,16,VS,404.5469982544873,19200,26,406.7389579535167,403.6311650610935,410.4667357680879,0.26840125816086496,1.7786647096816595,0.050507893863732056,0.1099288416569817,0.116
2,16,SG,404.5469982544873,19200,26,406.7389579535167,403.6311650610935,410.4667357680879,0.2699844692244569,1.2790191095909045,0.21280180199048668,0.08218768064051757,18.999999999999996
4,16,AS,392.9399657991189,19680,27,398.15777970961767,396.9249591402135,387.5396690892013,0.26844333203853515,0.6666546542858394,0.47088189310135,0.04106703518379913,
4,16,DB,392.9399657991189,19680,27,398.15777970961767,396.9249591402135,387.5396690892013,0.2587290578729011,0.6867292947848531,0.46140077160227566,0.04419414825069665,0.21428570000000002
4,16,VS,392.9399657991189,19680,27,398.15777970961767,396.9249591402135,387.5396690892013,0.2610242637222569,1.0221141103598506,0.29611382682273896,0.06893163602116453,0.116
4,16,SG,392.9399657991189,19680,27,398.15777970961767,396.9249591402135,387.5396690892013,0.27849734387486286,0.5909350385669846,0.4967348579386986,0.033367795938003146,11.21787782048706
2,19,AS,355.3912893162243,6720,28,357.7093457705281,359.0310592668269,360.19932582413173,0.4231695899581414,1.5052115349567763,0.03798443268831741,0.08342593512491034,
2,19,DB,355.3912893162243,6720,28,357.7093457705281,359.0310592668269,360.19932582413173,0.41159780148341396,1.5323925890759704,0.0435636528170623,0.08352286990716816,0.21428570000000002
2,19,VS,355.3912893162243,6720,28,357.7093457705281,359.0310592668269,360.19932582413173,0.3719444959072873,1.5106057448910977,0.006737946999085468,0.09560189014318729,0.116
2,19,SG,355.3912893162243,6720,28,357.7093457705281,359.0310592668269,360.19932582413173,0.424501962959646,1.301026900241446,0.0832915865691702,0.07428216148836925,16.827830098599904
3,19,AS,357.39922766227016,10800,29,357.5253847651136,381.92521660187856,354.159792495642,0.3383496460942356,1.0717663597329057,0.33554576000217895,0.05690649750421544,
3,19,DB,357.39922766227016,10800,29,357.5253847651136,381.92521660187856,354.159792495642,0.3340340004397948,0.9568787423795121,0.36776559933337305,0.05402928411698993,0.21428570000000002
3,19,VS,357.39922766227016,10800,29,357.5253847651136,381.92521660187856,354.159792495642,0.3315732980284591,2.127463227067085,0.006737946999085468,0.11347015995776086,0.116
3,19,SG,357.39922766227016,10800,29,357.5253847651136,381.92521660187856,354.159792495642,0.32939827572393326,1.202705118803307,0.2875284863536309,0.06351755564065814,17.59254595186861
4,19,AS,410.2287937720076,21120,30,413.4755320874195,416.6100538721955,404.01867250991,0.3286897317811659,0.748149732519969,0.28823617329482953,0.04908598239911394,
