agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
4,4,DB,22080,15,0.2546037152936157,0.23484473496206765,0.26154910901204276,0.26265596139634145,400.3736189507953,0.8482810470521839,0.45227795587318564,0.05243945787342723,0.21428570000000002
4,4,VS,22080,15,0.2546037152936157,0.23484473496206765,0.26154910901204276,0.26265596139634145,410.9867312300382,0.85297348189995,0.4123219933172103,0.06061481357066699,0.116
4,4,SG,22080,15,0.2546037152936157,0.23484473496206765,0.26154910901204276,0.26265596139634145,396.6430497554039,0.8001452854776226,0.459852650515917,0.050122164278370754,18.999999999999996
4,6,AS,480,16,0.17179754175403156,0.1779744368278613,0.1634572786491767,0.17862451956878844,387.50177920262377,0.9283893744431546,0.4384781410002265,0.04904176146094984,
4,6,DB,480,16,0.17179754175403156,0.1779744368278613,0.1634572786491767,0.17862451956878844,389.9979536082344,0.9394845253756833,0.4339609794856678,0.050261971055949595,0.21428570000000002
4,6,VS,480,16,0.17179754175403156,0.1779744368278613,0.1634572786491767,0.17862451956878844,386.6589786364878,1.0078777288498797,0.4002650430836728,0.04953848534670336,0.116
4,6,SG,480,16,0.17179754175403156,0.1779744368278613,0.1634572786491767,0.17862451956878844,388.0802308837271,0.9043792237356028,0.4460475192810188,0.04811544498087243,18.999999999999996
1,6,AS,5040,17,0.2773028275059887,0.2621565408543517,0.2799791425161856,0.2853845398263126,436.88800183624375,0.5163424475944606,0.5633452110091515,0.027387766686545887,
1,6,DB,5040,17,0.2773028275059887,0.2621565408543517,0.2799791425161856,0.2853845398263126,440.4110015639908,0.656731155187501,0.42638894081423184,0.04635768033841753,0.21428570000000002
1,6,VS,5040,17,0.2773028275059887,0.2621565408543517,0.2799791425161856,0.2853845398263126,437.0760875105137,0.6990913937365191,0.4062826341754427,0.05130656331093283,0.116
1,6,SG,5040,17,0.2773028275059887,0.2621565408543517,0.2799791425161856,0.2853845398263126,444.4916760134122,0.9036214980924604,0.3256382395248814,0.06927285498258205,18.019386630674404
